SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width,,,,,,,,,,,,,
WP151212,"Cs(10) 12x12 1.5"" Wood Panel",10,1,Natural Wood Panel,,12,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP151248,"Cs(4) 12x48 1.5"" Wood Panel",4,1,Natural Wood Panel,,12,48,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP151616,"Cs(5) 16x16 1.5"" Wood Panel",5,1,Natural Wood Panel,,16,16,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP151620,"Cs(5) 16x20 1.5"" Wood Panel",5,1,Natural Wood Panel,,16,20,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP151818,"Cs(5) 18x18 1.5"" Wood Panel",5,1,Natural Wood Panel,,18,18,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP151824,"Cs(5) 18x24 1.5"" Wood Panel",5,1,Natural Wood Panel,,18,24,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP152020,"Cs(5) 20x20 1.5"" Wood Panel",5,1,Natural Wood Panel,,20,20,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP152024,"Cs(5) 20x24 1.5"" Wood Panel",5,1,Natural Wood Panel,,20,24,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP152424,"Cs(4) 24x24 1.5"" Wood Panel",4,1,Natural Wood Panel,,24,24,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP152430,"Cs(4) 24x30 1.5"" Wood Panel",4,1,Natural Wood Panel,,24,30,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP152436,"Cs(4) 24x36 1.5"" Wood Panel",4,1,Natural Wood Panel,,24,36,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP153040,"Cs(2) 30x40 1.5"" Wood Panel",2,1,Natural Wood Panel,,30,40,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP153636,"Cs(2) 36x36 1.5"" Wood Panel",2,1,Natural Wood Panel,,36,36,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP153648,"Cs(2) 36x48 1.5"" Wood Panel",2,1,Natural Wood Panel,,36,48,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP750505,"Cs(10) 5x5 7/8"" Wood Panel",10,1,Natural Wood Panel,,5,5,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP750612,"Cs(10) 6x12 7/8"" Wood Panel",10,1,Natural Wood Panel,,6,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP750808,"Cs(10) 8x8 7/8"" Wood Panel",10,1,Natural Wood Panel,,8,8,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP750810,"Cs(10) 8x10 7/8"" Wood Panel",10,1,Natural Wood Panel,,8,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP750912,"Cs(10) 9x12 7/8"" Wood Panel",10,1,Natural Wood Panel,,9,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP751010,"Cs(10) 10x10 7/8"" Wood Panel",10,1,Natural Wood Panel,,10,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP751114,"Cs(10) 11x14 7/8"" Wood Panel",10,1,Natural Wood Panel,,11,14,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP751212,"Cs(10) 12x12 7/8"" Wood Panel",10,1,Natural Wood Panel,,12,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP751216,"Cs(5) 12x16 7/8"" Wood Panel",5,1,Natural Wood Panel,,12,16,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP751224,"Cs(5) 12x24 7/8"" Wood Panel",5,1,Natural Wood Panel,,12,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP751616,"Cs(5) 16x16 7/8"" Wood Panel",5,1,Natural Wood Panel,,16,16,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP751818,"Cs(5) 18x18 7/8"" Wood Panel",5,1,Natural Wood Panel,,18,18,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
WP751824,"Cs(5) 18x24 7/8"" Wood Panel",5,1,Natural Wood Panel,,18,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
