SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width
10225050,(5)50x50 Claybord 2.2cm,5,1,Claybord,,50,50,"1/8""","3/4""","7/8""","3/4"""
10225070,(2)50x70 Claybord 2.2cm,2,1,Claybord,,50,70,"1/8""","3/4""","7/8""","3/4"""
10382020,(10)20x20 Claybord 3.8cm,10,1,Claybord,,20,20,"1/8""","1 3/8""","1.5""","3/4"""
10382030,(10)20x30 Claybord 3.8cm,10,1,Claybord,,20,30,"1/8""","1 3/8""","1.5""","3/4"""
10382430,(5)24x30 Claybord 3.8cm,5,1,Claybord,,24,30,"1/8""","1 3/8""","1.5""","3/4"""
10383030,(5)30x30 Claybord 3.8cm,5,1,Claybord,,30,30,"1/8""","1 3/8""","1.5""","3/4"""
10383040,(5)30x40 Claybord 3.8cm,5,1,Claybord,,30,40,"1/8""","1 3/8""","1.5""","3/4"""
10384040,(5)40x40 Claybord 3.8cm,5,1,Claybord,,40,40,"1/8""","1 3/8""","1.5""","3/4"""
10384050,(5)40x50 Claybord 3.8cm,5,1,Claybord,,40,50,"1/8""","1 3/8""","1.5""","3/4"""
10384060,(5)40x60 Claybord 3.8cm,5,1,Claybord,,40,60,"1/8""","1 3/8""","1.5""","3/4"""
20031318,(10)13 x18 Gessobord 3mm,10,1,Gessobord,,13,18,"1/8""",-,"1/8""",-
20031824,(10)18 x24 Gessobord 3mm,10,1,Gessobord,,18,24,"1/8""",-,"1/8""",-
20032020,(10)20 x20 Gessobord 3mm,10,1,Gessobord,,20,20,"1/8""",-,"1/8""",-
20032430,(10)24 x30 Gessobord 3mm,10,1,Gessobord,,24,30,"1/8""",-,"1/8""",-
20033030,(10)30 x30 Gessobord 3mm,10,1,Gessobord,,30,30,"1/8""",-,"1/8""",-
20033040,(10)30 x40 Gessobord 3mm,10,1,Gessobord,,30,40,"1/8""",-,"1/8""",-
20034050,(10)40 x50 Gessobord 3mm,10,1,Gessobord,,40,50,"1/8""",-,"1/8""",-
20034060,(10)40 x60 Gessobord 3mm,10,1,Gessobord,,40,60,"1/8""",-,"1/8""",-
