cradled/flat,Grade,TerceroLength,TerceroWidth,CuttingInstruction,Cradled,Quantity,Dimension1/1,Dimension1/2,Unit,Cradled,Quantity2,Dimension2/1,Dimension2/2,Unit2,Cradled,Quantity3,Dimension3/1,Dimension3/2,Unit3,Cradled,Quantity4,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit
flat,36,48.5,25,A:47.8  I:36(1)->A:25 I:24(1)___I:9(1)->A:25 I:12(2),0,1,24,36,in,0,2,9,12,in,,,,,,,,,,,,,,,,,,,,
flat,30c,48.5,25,A:47.8  I:6(7)->A:25.2 I:6(4)___I:4(1)->A:25.4 I:4(6),0,28,6,6,in,0,6,4,4,in,,,,,,,,,,,,,,,,,,,,
flat,30c,48.5,25,A:47.8  I:8(5)->A:25.2 I:6(4)___I:6(1)->A:25 I:8(3),0,23,6,8,in,,,,,,,,,,,,,,,,,,,,,,,,,
flat,30c,48.5,25,A:47.8  I:10(4)->A:25.2 I:8(3)___I:6(1)->A:25.2 I:6(4),0,12,8,10,in,0,4,6,6,in,,,,,,,,,,,,,,,,,,,,
flat,30c,48.5,25,A:47.5  I:9(5)->A:25 I:12(2),0,10,9,12,in ,,,,,,,,,,,,,,,,,,,,,,,,,
flat,24,48.5,25,A:48  I:12(2)->A:25 I:12(2)___I:10(1)->A:25 I:8(3)___I:12(1)->A:25 I:12(2),0,6,12,12,in,0,3,8,10,in,,,,,,,,,,,,,,,,,,,,
flat,24,48.5,25,A:47.8  I:6(7)->A:25.2 I:6(4)___I:4(1)->A:25.4 I:4(6),0,28,6,6,in,,,,,,,,,,,,,,,,,,,,,,,,,
flat,24,48.5,25,A:47.8 I:8(5)->A:25.2 I:6(4)___I:6(1)->A:25 I:8(3),0,23,6,8,in,,,,,,,,,,,,,,,,,,,,,,,,,
flat,24,48.5,25,A:47.8  I:10(4)->A:25.2 I:8(3)___I:5(1)->A:25.2 I:6(4),0,12,8,10,in,0,4,6,6,in,,,,,,,,,,,,,,,,,,,,
flat,24,48.5,25,A:47.8  I:8(5)->A:25 I:8(3)___I:6(1)->A:25.2 I:6(4),0,15,8,8,in,0,4,6,6,in,,,,,,,,,,,,,,,,,,,,
flat,24,48.5,25,A:47.5  I:9(5)->A:25 I:12(2),0,10,9,12,in ,,,,,,,,,,,,,,,,,,,,,,,,,
flat,24c,48.5,25,A:48  I:16(1)->A:25 I:6(4)___I:15(1)->A:25 I:5(5)___I:12(2)->A:25 I:12(2)___I:16(1)->A:25 I:6(4)___I:15(1)->A:25 I:5(5),0,4,12,12,in,0,10,5,5,in,0,8,6,6,in,,,,,,,,,,,,,,,
flat,24c,48.5,25,A:48  I:6(1)->A:25 I:6(4)___I:5(1)->A:25 I:7(2) I:5(2)___I:12(2)->A:25 I:24(1)___I:6(1)->A:25 I:6(4)___I:5(1)->A:25 I:7(2) I:5(2),0,2,12,24,in,0,4,5,7,in,0,4,5,5,in,0,8,6,6,in,,,,,,,,,,
flat,24c,48.5,25,A:47.8  I:6(7)->A:25.2 I:6(4)___I:4(1)->A:25.4 I:4(6),0,28,6,6,in,0,6,4,4,in,,,,,,,,,,,,,,,,,,,,
flat,24c,48.5,25,A:47.8  I:8(5)->A:25.2 I:6(4)___I:6(1)->A:25 I:8(3),0,23,6,8,in ,,,,,,,,,,,,,,,,,,,,,,,,,
flat,24c,48.5,25,A:47.8  I:10(4)->A:25.2 I:8(3)___I:6(1)->A:25.2 I:6(4),0,12,8,10,in,0,4,6,6,in,,,,,,,,,,,,,,,,,,,,
flat,24c,48.5,25,A:47.8  I:8(5)->A:25 I:8(3)___I:6(1)->A:25.2 I:15(4),0,15,8,8,in,0,4,6,6,in,,,,,,,,,,,,,,,,,,,,
flat,24c,48.5,25,A:47.5  I:9(5)->A:25 I:12(2),0,10,9,12,in,,,,,,,,,,,,,,,,,,,,,,,,,
flat,18,48.5,25,A:47.8  I:6(7)->A:25.2 I:6(4)___I:4(1)->A:25.4 I:4(6),0,28,6,6,in,0,6,4,4,in,,,,,,,,,,,,,,,,,,,,
flat,18,48.5,25,A:47.8  I:8(5)->A:25.2 I:6(4)___I:6(1)->A:25 I:8(3),0,23,6,8,in,,,,,,,,,,,,,,,,,,,,,,,,,
flat,18,48.5,25,A:47.8  I:10(4)->A:25.2 I:8(3)___I:6(1)->A:25.2 I:6(4),0,12,8,10,in,0,4,6,6,in,,,,,,,,,,,,,,,,,,,,
flat,18,48.5,25,I:47.8  I:8(5)->A:25 I:8(3)___I:6(1)->A:25.2 I:6(4),0,15,8,8,in,0,4,6,6,in,,,,,,,,,,,,,,,,,,,,
flat,18,48.5,25,A:47.5  I:9(5)->A:25 I:12(2),0,10,9,12,in,,,,,,,,,,,,,,,,,,,,,,,,,
flat,18 x 36,48.5,25,A:25.65  I:18(1)->A:47.8 I:36(1)___I:17(1)->A47.5 I:5(9)___I:7(1)->A:17 I:8(2),0,1,18,36,in,0,9,5,7,in,0,2,8,10,in,,,,,,,,,,,,,,,
flat,18 x 36,48.5,25,A:47.8  I:6(7)->A:25.2 I:6(4)___I:4(1)->A:25.4 I:4(6),0,28,6,6,in,0,6,4,4,in,,,,,,,,,,,,,,,,,,,,
