SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width
KITAP,"(12) Scratch Kit - Apple, Pear",,,,,,,,,,
KITB,(12) Scratch Kit-Bunny,,,,,,,,,,
KITBD,(12) Scratch Kit - Bertie Dog,,,,,,,,,,
KITBF,(12) Scratch Kit - Butterfly,,,,,,,,,,
KITCB,(12) Scratch Kit-Cat&Ball,,,,,,,,,,
KITCM,(12) Scratch Kit- Crown Monkey,,,,,,,,,,
KITDAF,(12) Scratch Kit - Daffodil,,,,,,,,,,
KITG,(12) Scratch Kit - GerberDaisy,,,,,,,,,,
KITH,(12) Scratch Kit-Hummingbird,,,,,,,,,,
KITHB,(12) Scratch Kit - Happy Buds,,,,,,,,,,
KITLH,(12) Scratch Kit - Lighthouse,,,,,,,,,,
KITOE,(12) Scratch Kit-One is Enough,,,,,,,,,,
KITOL,"(12) Scratch Kit - Orange, Lem",,,,,,,,,,
KITP,(12) Scratch Kit-Parrot,,,,,,,,,,
KITPAN,(12) Scratch Kit - Pansies,,,,,,,,,,
KITPUP,(12) Scratch Kit-Puppy,,,,,,,,,,
KITRB,(12) Scratch Kit - Raspberries,,,,,,,,,,
KITS,(12) Scratch kit- Sailboat,,,,,,,,,,
KITSB,(12) Scratch Kit - Strawberry,,,,,,,,,,
KITSB2,(12) Scratch Kit - Strawberry,,,,,,,,,,
KITSD,(12) Scratch Kit - Zoey Dog,,,,,,,,,,
KITSM,(12) Scratch Kit - Sun Monkey,,,,,,,,,,
KITT,(12) Scratch Kit-Terrier,,,,,,,,,,
KITTL,(12) Scratch Kit - Tiger Lilly,,,,,,,,,,
KITTY,(12) Scratch Kit-Kitten,,,,,,,,,,
KITWOLF,(12) Scratch Kit-Wolf,,,,,,,,,,
KITY,(12) Scratch Kit-Yellow Rose,,,,,,,,,,
MAXVID,Case(5) Scratchboard DVD,,,,,,,,,,
MERCH KIT,Merchandising kit,,,,,,,,,,
PaperCombo-old,"30"" of Asst. Aqua & Pastelbord",,,,,,,,,,
"ENCS-1/4""","Encausticbord Custom-1/4"":",,,,,,,,,,
"ENCS-1/8""","Encausticbord Custom-1/8"":",,,,,,,,,,
GBRFC067,"6 3/8""x7 5/8"" x1 1/8"" CradGess",,,,,,,,,,
GBRFC0812,"8.5""x12.625""x1.25"" Crd Gessobd",,,,,,,,,,
"GBSCS-1/4""","Gessobord 1/4"" - 99""x99""",,,,,,,,,,
"GBSCS-1/8""","Gessobord 1/8"" - 99""x99""",,,,,,,,,,
"CBBCS - 1/4""","Scratchbord 1/4"":-99""x99""",,,,,,,,,,
"CBBCS - 1/8""","Scratchbord 1/8"" : 99""x99""",,,,,,,,,,
CBS05-2,Claybord 5x7 - 2Pk,,,,,,,,,,
"CBSCS-1/4""","Claybord 1/4"": 99""x99""",,,,,,,,,,
"CBSCS-1/8""","Claybord 1/8"": 99""x99""",,,,,,,,,,
CBSFIX,Case(6) Claybord Sealer-Matte,,,,,,,,,,
CBSVID,Case Claybord Tech. Video,,,,,,,,,,
"GBSCS-1/4""","Gessobord 1/4"" - 99""x99""",,,,,,,,,,
"GBSCS-1/8""","Gessobord 1/8"" - 99""x99""",,,,,,,,,,
"HBCS-1/4""","Hardbord 1/4"":99""x99""",,,,,,,,,,
"HBCS-1/8""","Hardbord 1/8"": 99""x99""",,,,,,,,,,
HL08,Cs(36) Gessoed Masonite 8 x 10,,,,,,,,,,
U-28814,"16x20 7/8"" Utr Wood Panel (5)",,,,,,,,,,
U-36867,"12x12 7/8"" Utr Wood Panel",,,,,,,,,,
PRINTCBS-1/8,"Printer Claybord 1/8"":99""x99""",,,,,,,,,,
"PRINTGBS-1/8""","Printer Gessobord 1/8"": 9""x9""",,,,,,,,,,
PETBOOK,Case(12) Pet Books,,,,,,,,,,
PM05,Case(30) Primed Masonite - 5x7,,,,,,,,,,
PM16,Cs.(20) Primed Masonite 16x20,,,,,,,,,,
PRIME-1/8,Primed Hardboard - 1/8,,,,,,,,,,
PRIME - 1/4,"Primed Hardboard - 1/4""",,,,,,,,,,
PBA05,"Case 5x7 Pastelbord -Gr,Sd, Gy",,,,,,,,,,
"PBCS-1/4""","Pastelbord Custom 1/4"":99""x99""",,,,,,,,,,
"PBCS-1/8""","Pastelbord Custom: 99""x99""",,,,,,,,,,
CRADGBS,Cradled Gessobord Panel: 99x99,,,,,,,,,,
CRADHB,"Cradled Hardbord Panel:99""x99""",,,,,,,,,,
DBOXCLAY05,Case (4) 5x5 Claybord Box Kit,,,,,,,,,,
DBOXCLAY07,Case (4) 5x7 Claybord Box Kit,,,,,,,,,,
DGBS2,5x5 & 5x7 Gesso PoP,,,,,,,,,,
DLEEBOOK,Starting from Scratch Book,,,,,,,,,,
DSHADOW06,Case (6) 6x6 Art Shadow Box,,,,,,,,,,
DSHADOW08,Case (6) 8x8 Art Shadow Box,,,,,,,,,,
DSHADOW122,Case (4) 12x12 Art Shadow Box,,,,,,,,,,
EC10B,"10"" R/L Bottom Cabinet for EC",,,,,,,,,,
EC10LT,"10"" Left Side Top for EC",,,,,,,,,,
EC10RT,"10"" Right Side Top for EC",,,,,,,,,,
EC6B,"6"" Right Side Bottm for 40"" EC",,,,,,,,,,
EC6T,"6""  Right Side Top for 40"" EC",,,,,,,,,,
EGBWC066,Case (6) Econo Gesso Deep 6x6,,,,,,,,,,
CBT05-2,Aquabord 5x7 - 2Pk,,,,,,,,,,
510120912,"(10)Pastelbord White 9x12-1/8""",,,,,,,,,,
"CBTCS-1/4""","Aquabord 1/4"": 99""x99""",,,,,,,,,,
"CBTCS-1/8""","Aquabord 1/8"":99""x99""",,,,,,,,,,
CINKSET,Case(6) Claybord Ink Set,,,,,,,,,,
"CRADCS- 1""","Custom Cradle Frame - 1""",,,,,,,,,,
"CRADCS - 1 1/2""","Custom Cradle Frame -  1 1/2""",,,,,,,,,,
CRADCS - 2'',"Custom Cradle Frame - 2""",,,,,,,,,,
"CRADCS - 3/4""","Custom Cradle Frame - 3/4""",,,,,,,,,,
CRADCBS,"Cradled Claybord Panel - 1/8""",,,,,,,,,,
"CRADCBS-1/4""",Cradled Claybord Panel - 1/4,,,,,,,,,,
CRADCBT,"Cradled Aquabord Panel:99""x99""",,,,,,,,,,
CRADENC,"Cradled Encausticbord - 1/8"":",,,,,,,,,,
PWP7540603,Cs(12-3pk )AP Primed 7/8 4x6,12,3,Artist Panel Smooth,,4,6,"1/8""","3/4""","7/8""","3/4"""
PWP7550703,Cs(12-3pk )AP Primed 7/8 5x7,12,3,Artist Panel Smooth,,5,7,"1/8""","3/4""","7/8""","3/4"""
PWP7560603,Cs(12-3pk )AP Primed 7/8 6x6,12,3,Artist Panel Smooth,,6,6,"1/8""","3/4""","7/8""","3/4"""
PWP7581002,Cs(12-2pk )AP Primed 7/8 8x10,12,2,Artist Panel Smooth,,8,10,"1/8""","3/4""","7/8""","3/4"""
PBW05,Cs(10-3Pk) WhitePastelbrd 5x7,10,3,Pastelbord,white,5,7," 1/8"" ", - ," 1/8"" ", - 
PBW0608,Cs(10-3Pk) WhitePastelbrd 6x8,10,3,Pastelbord,white,6,8," 1/8"" ", - ," 1/8"" ", - 
PBS05,Cs(10-3Pk) 5x7 Pastelbord Sand,10,3,Pastelbord,sand,5,7," 1/8"" ", - ," 1/8"" ", - 
ENATC,"Cs.(10-5Pk) 1/8"" Encaustic ATC",10,5,Encausticbord,,,," 1/8"" ", - ," 1/8"" ", - 
