Page,Grade,TerceroLength,TerceroWidth,CuttingInstruction,Cradled,Quantity,Dimension1/1,Dimension1/2,Unit,Cradled,Quantity2,Dimension2/1,Dimension2/2,Unit2,Cradled,Quantity3,Dimension3/1,Dimension3/2,Unit3,Cradled,Quantity4,Dimension 1,Dimension 2,Unit4,Cradled,Quantity,Dimension 1,Dimension 2,Unit5,Cradled,Quantity,Dimension 1,Dimension 2,Unit
page 5,48,48.5,32,A:48  I:30.25(1)->A:31 I:30.25___I:8(2)->A:31.2 I:10(3),1,1,30,30,in,0,6,8,10,in,,,,,,,,,,,,,,,,,,,,
page 5,40,48.5,32,A:48  I:30.25(1)->A:31 I:30.25___I:8(2)->A:31.2 I:10(3),1,1,30,30,in,0,6,8,10,in,,,,,,,,,,,,,,,,,,,,
page 5,30,48.5,32,A:48  I:30.25(1)->A:31 I:30.25___I:8(2)->A:31.2 I:10(3),1,1,30,30,in,0,6,8,10,in,,,,,,,,,,,,,,,,,,,,
page 5,30c,48.5,32,A:47.6  I:8(1)->A:31.2 I:10(3)___I:30.25(1)->A:31 I:30.25(1)___I:8(1)->A:31.2 I:10(3),1,1,30,30,in,0,6,8,10,in,,,,,,,,,,,,,,,,,,,,
page 6,30,48.5,32,A:48  I:24.25(1)->A:31 I:30.25(1)___I:6(1)->A:31.4 I:6(5)___I:8(2)->A:31.2 I:10(3),1,1,24,30,in,0,5,6,6,in,0,6,8,10,in,,,,,,,,,,,,,,,
page 6,24,48.5,32,A:48  I:24.25(1)->A:31 I:30.25(1)___I:6(1)->A:31.4 I:6(5)___I:8(2)->A:31.2 I:10(3),1,1,24,30,in,0,5,6,6,in,0,6,8,10,in,,,,,,,,,,,,,,,
page 6,24c,48.5,32,A:47.8  I:6(1)->A:31.4 I:6(5)___I:5(1)->A:31.5 I:5(6)___I:24.25(1)->A:31 I:30.25(1)___I:5(1)->A:31.5 I:5(6)___I:6(1)->A:31.4 I:6(5),1,1,24,30,in,0,12,5,5,in,0,10,6,6,in,,,,,,,,,,,,,,,
page 6,48,48.5,32,A:47.5  I:22.25(2)->A:30 I:28.25,1,2,22,28,in,,,,,,,,,,,,,,,,,,,,,,,,,
page 6,48,48.5,32,A:47.8  I:20.25(2)->A:31 I:30.25(1)___I:6.25->A:31.4 I:24.25(1)___I:6.25(1),1,2,20,30,in,1,1,6,24,in,1,1,6,6,in,,,,,,,,,,,,,,,
page 6,48,48.5,32,A:47.8  I:20.25(2)->A:31 I:30.25(1)___I:6.25(1)->A:31.6 I:12.25(2)___I:6.25(1),1,2,20,30,in,1,2,6,12,in,1,1,6,6,in,,,,,,,,,,,,,,,
page 6,40,48.5,32,A:47.8  I:20.25(2)->A:31 I:30.25(1)___I:6.25(1)->A:31.6 I:12.25(2)___I:6.25(1),1,2,20,30,in,1,2,6,12,in,1,1,6,6,in,,,,,,,,,,,,,,,
